Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SFYF,SoFi Social 50 ETF,"$13,140",-41.53%,"1,917",$21.93,0.18%,-0.23%,-7.34%,-40.47%,8.30%,N/A,"-$2,528,960.00",$0.00,$0.00,"-$4,417,060.00","$14,174,660.00","$18,192,895.00",All Cap Equities,2019-05-08,0.29%,N/A,$0.09,2021-06-21,$0.05,0.21%,36.18,1.49,51,52.67%,40%,20%,1099,$21.44,$23.62,$21.62,$22.53,45.84,B-,B-,A-,B+,C,C+,N/A,6.46,45.92%,39.60%,67.44,5.35%,12.10%
SAEF,Schwab Ariel ESG ETF,"$12,788",-15.06%,"3,020",$20.69,1.22%,0.93%,-0.48%,-12.91%,N/A,N/A,"$6,268,800.00",$0.00,"$619,900.00","$6,990,500.00","$14,481,975.55","$14,481,975.55",All Cap Equities,2021-11-15,0.59%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,26.00%,40%,20%,1099,$20.15,$21.27,$20.52,$20.96,54.67,N/A,B-,B,N/A,C+,N/A,N/A,6.08,32.26%,36.11%,124.25,0.00%,1.86%
TMDV,ProShares Russell U.S. Dividend Growers ETF,"$11,699",-1.83%,"1,185",$49.02,0.39%,0.96%,1.79%,0.54%,28.16%,N/A,"-$7,846,380.40",$0.00,$0.00,"-$7,846,380.75","$867,300.81","$4,507,600.81",All Cap Equities,2019-11-05,0.35%,N/A,$1.13,2021-09-22,$0.35,2.38%,22.06,0.89,65,17.67%,40%,20%,1099,$47.79,$49.80,$48.71,$49.54,60.09,B+,C+,B+,N/A,A,B-,N/A,7.1,6.09%,47.76%,152.37,3.00%,7.35%
DIEM,Franklin Emerging Market Core Dividend Tilt Index ETF,"$11,585",-19.47%,"2,352",$23.26,0.69%,0.41%,2.04%,-17.58%,-10.15%,-9.41%,"-$2,130,000.00",$0.00,$0.00,"-$2,130,000.00","-$2,130,000.00","-$2,130,000.00",All Cap Equities,2016-06-01,0.19%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,531,21.66%,40%,20%,1099,$21.93,$23.71,$23.16,$23.44,61.78,B,C+,A-,C+,A-,N/A,N/A,6.0,45.38%,35.23%,504.78,3.42%,5.03%
SYUS,Syntax Stratified US Total Market ETF,"$11,558",-6.83%,"2,702",$42.32,0.67%,1.65%,0.89%,-4.11%,N/A,N/A,"-$4,168,000.00",$0.00,"$2,147,000.00","-$4,168,000.00","-$10,571,750.00","-$10,571,750.00",All Cap Equities,2021-03-18,0.35%,N/A,$0.00,N/A,N/A,0.00%,22.91,0.96,4,100.00%,40%,20%,1099,$41.09,$42.97,$42.22,$42.40,57.41,A-,B+,A-,A-,B+,C+,N/A,8.07,45.85%,67.77%,194.73,7.13%,6.85%
PEXL,Pacer US Export Leaders ETF,"$11,502",-16.00%,"2,371",$39.05,1.85%,3.17%,0.43%,-12.79%,39.12%,N/A,"$9,478,465.00",$0.00,"$1,904,655.00","$9,478,465.00","$9,527,110.00","$10,940,085.02",All Cap Equities,2018-07-23,0.60%,N/A,$0.13,2021-09-23,$0.02,0.28%,0.00,1.19,101,12.08%,40%,20%,1099,$37.35,$39.38,$39.02,$39.12,58.69,C+,C,B-,A,C+,C+,N/A,8.6,71.45%,79.33%,125.94,2.13%,3.42%
VNSE,Natixis Vaughan Nelson Select ETF,"$10,722",-12.94%,"1,672",$26.38,1.07%,2.26%,0.87%,-11.71%,N/A,N/A,"$5,434,194.00",$0.00,"$261,618.00","$6,339,255.00","$4,118,065.00","$4,118,065.00",All Cap Equities,2020-09-17,0.80%,N/A,$0.02,2020-12-23,$0.02,0.04%,36.80,1.18,30,47.72%,40%,20%,1099,$25.56,$26.59,$26.21,$26.70,56.84,C+,C,C+,A,C+,N/A,N/A,8.42,63.99%,75.72%,187.17,7.65%,12.99%
NUDV,Nuveen ESG Dividend ETF,"$9,990",-4.34%,"1,897",$25.16,0.80%,2.35%,2.11%,-1.20%,N/A,N/A,"$4,722,280.00",$0.00,"$1,251,910.00","$4,722,280.00","$4,722,280.00","$4,722,280.00",All Cap Equities,2021-09-27,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,103,19.99%,40%,20%,1099,$24.29,$25.42,$25.09,$25.20,60.19,B+,B-,A-,A-,B+,B,N/A,10.0,100.00%,100.00%,71.46,0.00%,6.14%
WKLY,SoFi Weekly Dividend ETF,"$9,387",-5.77%,"1,789",$47.45,1.00%,1.79%,1.54%,-2.98%,N/A,N/A,"$1,292,925.00",$0.00,$0.00,"$1,292,925.00","$8,699,262.50","$8,699,262.50",All Cap Equities,2021-05-11,0.49%,N/A,$0.52,2021-11-08,$0.02,1.03%,16.78,0.85,441,23.61%,40%,20%,1099,$46.15,$48.06,$47.23,$47.89,60.03,A-,B-,B+,B,A-,A,N/A,10.0,100.00%,100.00%,223.07,7.22%,4.16%
HEET,Hartford Schroders ESG US Equity ETF,"$8,978",-14.65%,388,$22.57,0.62%,1.79%,1.09%,-12.27%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$7,505,794.53","$7,505,794.53",All Cap Equities,2021-08-10,0.39%,N/A,$0.05,2021-09-27,$0.04,0.18%,0.00,0.90,251,25.23%,40%,20%,1099,$21.91,$22.90,$22.57,$22.57,56.04,B+,C+,A-,B,B+,A-,N/A,8.39,63.00%,75.10%,66.07,1.74%,5.49%
USLB,Invesco Russell 1000 Low Beta Equal Weight ETF,"$8,738",-8.08%,543,$38.94,0.31%,1.00%,0.34%,-4.92%,20.23%,37.72%,"-$1,073,675.00",$0.00,$0.00,"-$1,073,675.00","-$73,124,275.00","-$152,655,525.00",All Cap Equities,2015-11-05,0.35%,N/A,$0.41,2021-09-20,$0.04,0.98%,30.02,0.94,529,2.89%,40%,20%,1099,$38.02,$39.87,$38.84,$39.00,55.69,B,C,B+,B+,B,A-,N/A,7.7,22.78%,58.96%,229.85,8.12%,6.27%
