Quarter,WAL,Aaa/AAA,Aa1/AA+,Aa2/AA,Aa3/AA-,A1/A+,A2/A,A3/A-,Baa1/BBB+,Baa2/BBB,Baa3/BBB-
2024Q2,7,48.07,53.49,58.91,70.49,82.07,93.65,105.9,118.16,130.41,152.49
2024Q2,8,56.01,60.62,65.23,76.74,88.25,99.77,112.07,124.38,136.69,155.63
2024Q2,9,63.96,64.74,65.53,78.98,92.43,105.88,118.24,130.6,142.96,158.77
2024Q2,10,62.44,64.13,65.83,78.91,91.99,105.07,117.68,130.29,142.9,158.74
2024Q2,11,60.92,63.52,66.13,78.84,91.55,104.25,117.12,129.98,142.85,158.71
2024Q2,12,59.4,62.91,66.42,78.76,91.1,103.44,116.56,129.67,142.79,158.68
2024Q2,13,57.89,62.3,66.72,78.69,90.66,102.63,116,129.36,142.73,158.65
2024Q2,14,56.37,61.7,67.02,78.62,90.22,101.81,115.43,129.05,142.68,158.62
2024Q2,15,54.85,61.09,67.32,78.55,89.77,101,114.87,128.74,142.62,158.6
2024Q2,16,53.33,60.48,67.62,78.47,89.33,100.18,114.31,128.44,142.56,158.57
2024Q2,17,51.81,59.87,67.92,78.4,88.89,99.37,113.75,128.13,142.5,158.54
2024Q2,18,50.3,59.26,68.22,78.33,88.44,98.56,113.19,127.82,142.45,158.51
2024Q2,19,48.78,58.65,68.52,78.26,88,97.74,112.62,127.51,142.39,158.48
2024Q2,20,47.26,58.04,68.81,78.18,87.56,96.93,112.06,127.2,142.33,158.45
2024Q2,21,45.74,57.43,69.11,78.11,87.11,96.11,111.5,126.89,142.27,158.42
2024Q2,22,44.23,56.82,69.41,78.04,86.67,95.3,110.94,126.58,142.22,158.4
2024Q2,23,42.71,56.21,69.71,77.97,86.23,94.48,110.38,126.27,142.16,158.37
2024Q2,24,41.19,55.6,70.01,77.9,85.78,93.67,109.81,125.96,142.1,158.34
2024Q2,25,39.67,54.99,70.31,77.82,85.34,92.86,109.25,125.65,142.05,158.31
2024Q2,26,38.16,54.38,70.61,77.75,84.9,92.04,108.69,125.34,141.99,158.28
2024Q2,27,36.64,53.77,70.9,77.68,84.45,91.23,108.13,125.03,141.93,158.25
2024Q2,28,35.12,53.16,71.2,77.61,84.01,90.41,107.57,124.72,141.87,158.22
2024Q2,29,33.6,52.55,71.5,77.53,83.57,89.6,107.01,124.41,141.82,158.19
2024Q2,30,32.08,51.94,71.8,77.46,83.12,88.79,106.44,124.1,141.76,158.17
2024Q3,1,9.1,17.62,26.15,33.76,41.37,48.98,57.21,65.45,73.68,116.59
2024Q3,2,20.84,26.27,31.71,39.69,47.67,55.65,64.37,73.09,81.81,120.66
2024Q3,3,32.58,34.93,37.27,45.62,53.96,62.31,71.52,80.73,89.94,124.72
2024Q3,4,44.33,43.58,42.83,51.55,60.26,68.98,78.68,88.37,98.07,128.79
2024Q3,5,41.79,43.35,44.92,54.83,64.75,74.66,85.14,95.62,106.1,132.8
2024Q3,6,39.25,43.13,47,58.12,69.23,80.34,91.6,102.86,114.12,136.81
2024Q3,7,46.19,48.92,51.65,63.06,74.47,85.88,97.21,108.55,119.88,139.69
2024Q3,8,53.13,54.71,56.29,68,79.71,91.43,102.83,114.23,125.63,142.57
2024Q3,9,60.07,60.5,60.93,72.94,84.96,96.97,108.44,119.91,131.38,145.44
2024Q3,10,58.86,60.22,61.58,73.28,84.98,96.68,108.4,120.12,131.84,145.67
2024Q3,11,57.65,59.94,62.23,73.61,85,96.39,108.36,120.33,132.3,145.9
2024Q3,12,56.44,59.66,62.87,73.95,85.02,96.1,108.32,120.54,132.76,146.13
2024Q3,13,55.24,59.38,63.52,74.28,85.04,95.8,108.28,120.75,133.22,146.36
2024Q3,14,54.03,59.1,64.16,74.61,85.06,95.51,108.24,120.96,133.68,146.59
2024Q3,15,52.82,58.82,64.81,74.95,85.09,95.22,108.19,121.17,134.14,146.82
2024Q3,16,51.61,58.54,65.46,75.28,85.11,94.93,108.15,121.37,134.59,147.05
2024Q3,17,50.41,58.25,66.1,75.62,85.13,94.64,108.11,121.58,135.05,147.28
2024Q3,18,49.2,57.97,66.75,75.95,85.15,94.35,108.07,121.79,135.51,147.51
2024Q3,19,47.99,57.69,67.39,76.28,85.17,94.06,108.03,122,135.97,147.74
2024Q3,20,46.79,57.41,68.04,76.62,85.19,93.77,107.99,122.21,136.43,147.97
2024Q3,21,45.58,57.13,68.69,76.95,85.21,93.48,107.95,122.42,136.89,148.2
2024Q3,22,44.37,56.85,69.33,77.28,85.24,93.19,107.91,122.63,137.35,148.43
2024Q3,23,43.16,56.57,69.98,77.62,85.26,92.9,107.87,122.84,137.81,148.66
2024Q3,24,41.96,56.29,70.62,77.95,85.28,92.61,107.83,123.05,138.26,148.88
2024Q3,25,40.75,56.01,71.27,78.29,85.3,92.32,107.78,123.25,138.72,149.11
2024Q3,26,39.54,55.73,71.92,78.62,85.32,92.03,107.74,123.46,139.18,149.34
2024Q3,27,38.34,55.45,72.56,78.95,85.34,91.73,107.7,123.67,139.64,149.57
